date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,soil
07-May-05,0,11.5,0,6,4, ,0,2.4,1013.4,9.958
08-May-05,0,10.8,0,5,0,4.5,0,2.8,1014.8,9.835
09-May-05,0,11,0,3.2,0,1.7,0,1.7,1018.1,9.358
10-May-05,0,12.7,0,0.8,0,-0.2,0,0,1021.3,10.033
11-May-05,0,14.5,0,2.2,0,1.1,0,0,1020.9,11.068
12-May-05,0,14.9,0,2.6,0,1.6,0,0,1017.8,11.175
13-May-05,0,16,0,6.4,0,4.5,0,0,1019.5,11.453
14-May-05,0,16.8,0,4.1,0,1,0,0,1018.6,11.917
15-May-05,0,15.3,0,2.8,0,1.3,0,0,1015.9,12.145
16-May-05,0,13.1,0,5.6,0,7.7,0,0,1017.7,12.17
17-May-05,0,11.8,0,1.1,0,-1.1,0,0,1017.2,11.83
18-May-05,0,12.2,0,4.3,0,3.6,0,1.6,1006,11.43
19-May-05,0,16,0,9.7,0,7.8,0,3.9,996.6,11.93
20-May-05,0,14.7,0,5.9,0,9.1,0,6.1,995.5,12.193
21-May-05,0,15,0,4.2,0,1.7,0,2.8,997.2,11.485
22-May-05,0,11.4,0,1.2,0,0.8,0,10.2,996.7,10.855
23-May-05,0,12.1,0,5.6,0,3.3,0,9.3,998.4,10.592
24-May-05,0,14.5,0,7.3,0,7.1,0,0.5,1003.2,11.583
25-May-05,0,15.1,0,9.1,0,9.8,0,30.7,1004,12.042
26-May-05,0,16,0,7.1,0,5.4,0,0.1,1007.8,12.425
27-May-05,0,10.5,0,8.4,0,8.8,0,11.5,1003.6,11.427
28-May-05,0,12.6,0,6.6,0,9.8,0,7.2,1000.1,11.163
29-May-05,0,14,0,5,0,4,0,0.2,1014.7,11.595
30-May-05,0,13.9,0,2.9,0,3.3,0,0.1,1019.2,11.985
31-May-05,0,16.9,0,5.5,0,5.4,0,3.4,1017.1,13.032
01-Jun-05,0,17.1,0,12.6,0,12.2,0,5.7,1008.8,13.327
02-Jun-05,0,14.2,0,11.7,0,12.5,0,16.4,1001.2,13.108
03-Jun-05,0,16.9,0,10.8,0,9.3,0,4.3,998.1,13.285
04-Jun-05,0,14.4,0,10.1,0,10,0,1.7,1005.1,12.81
05-Jun-05,0,17.7,0,9.3,0,9.5,0,0.1,1012.2,13.945
06-Jun-05,0,18.8,0,6,0,6.2,0,0,1020.6,14.63
07-Jun-05,0,18.9,0,8.5,0,8,0,0,1028.3,14.625
08-Jun-05,0,19.2,0,11.9,0,12.2,0,0,1030.4,14.952
09-Jun-05,0,19.3,0,12.5,0,13.8,0,0,1029.2,16.472
10-Jun-05,0,16.4,0,6.9,0,7.7,0,0,1024.1,16.76
11-Jun-05,0,16.3,0,2.5,0,2.7,0,0,1017.1,15.943
12-Jun-05,0,14.1,0,6.1,0,5.3,0,0.5,1011.5,15.115
13-Jun-05,0,13.4,0,5.8,0,4,0,0.1,1006.2,13.502
14-Jun-05,0,14,0,9.5,0,9.1,0,0,1001,13.148
15-Jun-05,0,15.8,0,9.4,0,9,0,0.8,1001.2,13.788
16-Jun-05,0,18.8,0,10.5,0,10.8,0,10.2,1007.3,14.618
17-Jun-05,0,21.1,0,13.3,0,13.9,0,1.4,1016.6,15.905
18-Jun-05,0,20.7,0,16.2,0,15.5,0,0.4,1015.2,16.528
19-Jun-05,0,19.7,0,13.4,0,13,0,0.2,1011.2,17.552
20-Jun-05,0,18.2,0,12.2,0,11.9,0,1.7,1010.2,16.45
21-Jun-05,0,17.3,0,11.6,0,11.1,0,1.9,1011.3,15.66
22-Jun-05,0,21.2,0,14.5,0,13.4,0,0,1012,16.632
23-Jun-05,0,19.5,0,12,0,13.1,0,0,1011.7,17.702
24-Jun-05,0,18.2,0,11.2,0,12.7,0,0,1015.3,17.795
25-Jun-05,0,17.8,0,8.8,0,11.8,0,0,1021.4,17.95
26-Jun-05,0,17,0,6,0,7.8,0,0,1024.6,17.855
27-Jun-05,0,18,0,7.9,0,9.3,0,0,1020.7,17.618
28-Jun-05,0,22.5,0,13.3,0,14.6,0,0,1011.5,19.005
29-Jun-05,0,19,0,14.1,0,16,0,12.4,1001.9,17.868
30-Jun-05,0,18.4,0,9.1,0,13.9,0,2.7,999.6,17.115
01-Jul-05,0,17.8,0,7.3,0,7.8,0,0.1,1004.9,15.79
02-Jul-05,0,20.8,0,11.6,0,15,0,0.9,1003.5,16.513
03-Jul-05,0,16.1,0,6.9,0,8.7,0,6.3,1004.4,15.523
04-Jul-05,0,16.1,0,3.3,0,5.9,0,3.1,1005.5,15.27
05-Jul-05,0,16.5,0,11.4,0,12.4,0,9.2,1002,15.53
06-Jul-05,0,13.7,0,10.6,0,12.8,0,4.9,1010.8,14.695
07-Jul-05,0,18.1,0,12.4,0,13.3,0,2.1,1015.8,15.657
08-Jul-05,0,18.6,0,13.9,0,15.4,0,3.7,1019,16.503
09-Jul-05,0,22.6,0,14,0,16.1,0,0.1,1023.2,18.017
10-Jul-05,0,25.4,0,12.8,0,14.6,0,0.1,1027.2,19.52
11-Jul-05,0,26,0,11.9,0,14.9,0,0.6,1029.5,19.763
12-Jul-05,0,18.7,0,13.9,0,17.5,0,0,1028.3,19.653
13-Jul-05,0,22.1,0,13.9,0,16.7,0,0,1022.4,19.405
14-Jul-05,0,18.4,0,12.9,0,16.2,0,0.8,1014.2,18.452
15-Jul-05,0,15.3,0,12.1,0,13.2,0,0,1012.8,16.965
16-Jul-05,0,18.8,0,12.1,0,13.8,0,0,1015.8,18.257
17-Jul-05,0,19.1,0,13.4,0,16.1,0,2.2,1008.2,17.88
18-Jul-05,0,17.5,0,11.2,0,12.6,0,2.7,1002.4,17.16
19-Jul-05,0,16.8,0,11.9,0,11.7,0,1.1,1009.8,16.278
20-Jul-05,0,17,0,12.1,0,12.8,0,1.5,1017.9,16.805
21-Jul-05,0,18,0,14.2,0,16.3,0,2.3,1020.4,17.462
22-Jul-05,0,19.1,0,12.7,0,14.3,0,0,1013.9,17.753
23-Jul-05,0,18.8,0,13.5,0,15.8,0,2,1004.9,17.1
24-Jul-05,0,22.6,0,11.6,0,13.4,0,0,1001,17.535
25-Jul-05,0,17.9,0,7.8,0,10.2,0,0,1005.8,16.63
26-Jul-05,0,16.9,0,8.1,0,9.9,0,0,1008.2,16.138
27-Jul-05,0,18.4,0,10.7,0,11.3,0,0,1007,16.14
28-Jul-05,0,18.4,0,5.8,0,7.9,0,0,1007.8,15.807
29-Jul-05,0,15.6,0,11.1,0,13.5,0,4.8,1010,14.972
30-Jul-05,0,16.1,0,12.4,0,13.7,0,0,1011.6,14.93
31-Jul-05,0,16.1,0,11.3,0,13.2,0,0.4,1013.1,15.33
01-Aug-05,0,19.7,0,9.9,0,13,0,0,1015.3,15.333
02-Aug-05,0,18.4,0,9.2,0,10.3,0,2.8,1013.7,14.952
03-Aug-05,0,18.3,0,12.1,0,12.2,0,5,1017.9,15.513
04-Aug-05,0,16,0,12.4,0,13.2,0,4.6,1017.2,15.378
05-Aug-05,0,16.8,0,11.2,0,11.5,0,0.3,1017.3,15.485
06-Aug-05,0,17.6,0,11.4,0,13,0,1.6,1018.5,15.318
07-Aug-05,0,20.2,0,9.7,0,12.4,0,0,1018.5,15.91
08-Aug-05,0,21,0,7.7,0,9.3,0,0,1017.7,15.69
09-Aug-05,0,20.4,0,14.2,0,14.5,0,0.2,1015.6,16.585
10-Aug-05,0,20.5,0,12.4,0,13.2,0,0,1014.5,16.745
11-Aug-05,0,17.4,0,13,0,15.1,0,0.3,1013.2,16.603
12-Aug-05,0,17.7,0,12.6,0,13.9,0,3.4,1011.7,15.883
13-Aug-05,0,17.6,0,13.9,0,14.8,0,0.9,1010.2,15.915
14-Aug-05,0,16.5,0,12.8,0,14.5,0,0.4,1018.5,15.57
15-Aug-05,0,20.4,0,12.7,0,13.9,0,0.8,1021.6,15.542
16-Aug-05,0,22.1,0,14.2,0,14,0,0,1016.4,16.193
17-Aug-05,0,16.8,0,13.1,0,14.7,0,24.7,1010.7,15.37
18-Aug-05,0,17.8,0,11,0,12,0,2.7,1011.3,15.382
19-Aug-05,0,16.9,0,10.4,0,11.9,0,3.4,1017,15.095
20-Aug-05,0,21.2,0,10.6,0,11.3,0,0,1021,15.49
21-Aug-05,0,22.9,0,13.8,0,15.7,0,4.2,1015.1,16.278
22-Aug-05,0,17.3,0,11.3,0,12.7,0,0.8,1016.1,15.99
23-Aug-05,0,17,0,10.4,0,10.8,0,6.9,1003.9,15.13
24-Aug-05,0,17,0,7.4,0,10.7,0,4.2,994.5,14.932
25-Aug-05,0,15.1,0,6.5,0,7.6,0,6,1000.2,13.73
26-Aug-05,0,15.3,0,8.6,0,9.1,0,0.8,1006.3,13.515
27-Aug-05,0,18.1,0,7.5,0,8,0,0.1,1010.1,13.627
28-Aug-05,0,21,0,12.7,0,11.6,0,8.2,1008.5,14.318
29-Aug-05,0,18.7,0,5.8,0,11.2,0,0.2,1014.4,14.592
30-Aug-05,0,19.3,0,3.2,0,5.3,0,0,1014.2,13.237
31-Aug-05,0,17.3,0,12.8,0,13.9,0,0.4,1005.5,14.195
01-Sept-05,0,17.8,0,7.3,0,7.2,0,5.8,1010.2,13.868
