date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,glorad,soil,pe,evap,smd_wd,smd_md,smd_pd
17-Sept-56,0,16.6,0,8.6,0,7.2,2,0,1022.6,7.4,0,13,0,100,0,18, , ,12.725,1.3,1.9, , , 
18-Sept-56,0,17.5,0,11.6,0,11,2,0,1017.9,8,0,13,0,170,0,14, , ,14.65,1.4,1.9, , , 
19-Sept-56,0,17,0,12.7,0,11.8,0,0,1012.9,11.4,0,18,0,150,0,26, , ,14.6,1.1,1.6, , , 
20-Sept-56,0,19.2,0,13.4,0,12.6,0,1,1005.5,17.5,0,27,0,210,0,38, , ,14.975,1.8,2.5, , , 
21-Sept-56,0,17.4,0,12.3,0,11.7,0,0.6,998.7,17.4,0,27,0,170,0,36, , ,14.65,1.6,2.3, , , 
22-Sept-56,0,17.1,0,9.7,0,9.8,0,9.9,997.7,9.3,0,24,0,140,0,32, , ,14.475,0.9,1.3, , , 
23-Sept-56,0,19.2,0,8.7,0,7.3,0,0.1,1006.4,4.6,0,10,0,160,0,13, , ,13.95,1.9,2.4, , , 
24-Sept-56,0,19.7,0,13.6,0,11.1,0,4.4,1009.2,6.8,0,14,0,50,0,18, , ,14.95,1.1,1.4, , , 
25-Sept-56,0,19.6,0,11.5,0,9.5,0,3.2,1005.6,4.5,0,12,0,260,0,19, , ,15.35,1.1,1.5, , , 
26-Sept-56,0,15.7,0,11.8,0,10.3,0,0.1,1004.2,14.5,0,21,0,220,0,29, , ,14.5,1.7,2.6, , , 
27-Sept-56,0,15.7,0,10.7,0,10.1,0,25.4,991.6,12.8,0,24,0,220,0,34, , ,13.4,1.1,1.6, , , 
28-Sept-56,0,14.9,0,10.4,0,9.6,0,3.3,985.6,27.5,0,41,0,240,0,62, , ,12.95,1.4,2.5, , , 
29-Sept-56,0,14.7,0,9.5,0,8.5,0,1.3,998.5,24.7,0,31,0,190,0,46, , ,12.45,1.8,2.9, , , 
30-Sept-56,0,14.6,0,10.1,0,9.5,0,0.6,1004.4,25.8,0,33,0,220,0,49, , ,12.325,1.9,3.1, , , 
01-Oct-56,0,14,0,6.6,0,8.5,0,0.3,1010,9.3,0,19,0,230,0,28, , ,11.875,1,1.5, , , 
02-Oct-56,0,13.6,0,5.6,0,3.9,0,1.8,1011.8,8.5,0,21,0,270,0,32, , ,11.125,1,1.6, , , 
03-Oct-56,0,12.7,0,7.1,0,7.8,0,3.1,1013.4,20.1,0,29,0,300,0,43, , ,10.9,1.7,2.7, , , 
04-Oct-56,0,10.6,0,6.2,0,5.5,0,5.2,1017.3,18.9,0,33,0,300,0,48, , ,9.475,1.6,2.4, , , 
05-Oct-56,0,12.8,0,5.9,0,4.6,0,1.4,1024.2,15,0,24,0,360,0,35, , ,9.275,1.6,2.2, , , 
