date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,sun,dos,soil,pe,evap,smd_wd,smd_md,smd_pd
01-Jan-64,0,10.2,0,4.1, , ,0,0.2,1000.8, ,9, ,9, ,9, ,0.1,0, , , , , , 
02-Jan-64,0,10.8,0,9.5, , ,2,0,1004.2, ,9, ,9, ,9, ,0,0, , , , , , 
03-Jan-64,0,10.9,0,8.9, , ,2,0,1010.6, ,9, ,9, ,9, ,1.3,0, , , , , , 
04-Jan-64,0,10.9,0,5.7, , ,0,3.3,1016.7, ,9, ,9, ,9, ,0,0, , , , , , 
05-Jan-64,0,7.5,0,5.6, , ,0,0.9,1020.5, ,9, ,9, ,9, ,0,0, , , , , , 
06-Jan-64,0,8.9,0,4.8, , ,0,1,1020.8, ,9, ,9, ,9, ,0,0, , , , , , 
07-Jan-64,0,9.2,0,1.9, , ,3,0,1023.5, ,9, ,9, ,9, ,3,0, , , , , , 
08-Jan-64,0,7.7,0,3, , ,3,0,1023.4, ,9, ,9, ,9, ,0.5,0, , , , , , 
09-Jan-64,0,8.4,0,5.4, , ,0,0,1021.3, ,9, ,9, ,9, ,0,0, , , , , , 
10-Jan-64,0,7.4,0,2.9, , ,0,0,1023, ,9, ,9, ,9, ,0.7,0, , , , , , 
11-Jan-64,0,6.8,1,-0.7, , ,2,0,1023.4, ,9, ,9, ,9, ,0,0, , , , , , 
12-Jan-64,0,4.7,0,2.2, , ,2,0,1018.2, ,9, ,9, ,9, ,0,0, , , , , , 
13-Jan-64,0,5.7,0,1.1, , ,0,1.7,1010, ,9, ,9, ,9, ,0,0, , , , , , 
14-Jan-64,0,5.1,1,-3.3, , ,0,1.3,1006.8, ,9, ,9, ,9, ,4.4,1, , , , , , 
15-Jan-64,0,7.1,0,5, , ,0,0,1014.2, ,9, ,9, ,9, ,0.3,0, , , , , , 
16-Jan-64,0,5.1,0,2, , ,0,0,1019.1, ,9, ,9, ,9, ,3.9,0, , , , , , 
17-Jan-64,0,5.9,0,0.9, , ,3,0,1019.3, ,9, ,9, ,9, ,0.1,0, , , , , , 
18-Jan-64,0,10.3,1,-0.6, , ,2,0,1014.7, ,9, ,9, ,9, ,0.1,0, , , , , , 
19-Jan-64,0,10,0,1.4, , ,3,0,1014.1, ,9, ,9, ,9, ,0.1,0, , , , , , 
