Station Name: OAK PARK
Station Height: 62 M 
Latitude:52.861  ,Longitude: -6.915


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
meant: -  Mean Air Temperature (C)
maxtp: -  Maximum Air Temperature (C)	  
mintp: -  Minimum  Air Temperature (C)	
mnmax: -  Mean Maximum Temperature (C)
mnmin: -  Mean Minimum Temperature (C)
gmin:  -  Grass Minimum Temperature (C)
wdsp:  -  Mean Wind Speed (knot)
mxgt:  -  Highest Gust (knot)
sun:   -  Sunshine duration (hours)
ind:   -  Indicator

year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
2004,1,5.4,12.3,-5.9,8.5,2.4,82.7,-10.3,8.4,50, 
2004,2,4.9,14.4,-5.6,8.8,0.9, ,-10.4,7.4,39, 
2004,3,6.6,15.9,-5.1,10.6,2.5,70.9,-9.7,9.0,57, 
2004,4,8.6,17.1,0.6,12.6,4.6,59.2,-3.6,8.4,43, 
2004,5,11.2,20.9,1.3,16.2,6.3,34.3,-3.0,6.2,39, 
2004,6,14.6,24.8,4.1,19.3,9.8, ,0.0,7.5,33, 
2004,8,16.0,25.4,5.0,20.5,11.6,129.1,1.8,6.5,30, 
2004,10,9.3,16.1,2.0,12.9,5.8,159.4,-1.3,7.6,38, 
2004,11,8.2,14.2,-0.5,11.0,5.5,41.6,-5.0,6.2,32, 
2004,12,6.6,13.4,-1.8,9.2,4.0,51.9,-7.5,8.1,41, 
2005,1,6.9,13.3,-1.2,9.6,4.1,89.0,-6.2,11.5,62, 
2005,2,4.8,12.7,-3.1,7.6,2.0,29.7,-7.5,7.2,39, 
2005,3,8.0,18.0,-2.9,11.4,4.6,63.0,-8.3,7.7,31, 
2005,4,8.3,17.1,0.2,12.4,4.2, ,-4.0,8.2,40, 
2005,5, , , , , , , , , , 
2005,6,14.7,23.7,3.7,19.2,10.2,30.2,-0.2,6.6,30, 
2005,7,16.1, , ,20.3,11.8, , , ,33, 
2005,8,15.6,23.8,6.6,20.2,11.0,37.6,3.7,6.4,32, 
2005,9,13.9,23.4,1.8,18.4,9.3,54.7,-1.7,7.7,35, 
2005,10,11.5,19.6,0.7,14.9,8.1,130.8,-2.5,8.2,39, 
2005,11,6.3,15.8,-3.2,9.9,2.8,65.3,-7.3,6.9,46, 
2005,12,5.5,12.9,-5.4,8.5,2.5,57.1,-9.4,6.0,28, 
2006,1,5.0,12.5,-6.3,8.3,1.7,29.3,-10.4,6.7,48, 
2006,2,4.9,11.9,-3.9,7.8,2.0,31.3,-7.4,6.5,33, 
2006,3,5.8,15.1,-4.9,9.0,2.7,87.9,-8.8,7.7,41, 
2006,4,8.5,16.5,-3.0,12.9,4.2,27.2,-7.3,7.6,36, 
2006,7,17.3,29.6,4.9,23.0,11.7,29.5,1.8,6.4,33, 
2006,8,15.7,26.2,6.5,19.8,11.5, ,2.1,7.1,29, 
2006,9,14.9,21.2,3.7,18.8,11.1,116.7,0.5,8.2,48, 
2006,10,11.8,17.9,2.3,15.3,8.2,107.2,-1.6,6.8,33, 
2006,11,7.4,13.8,-2.8,11.3,3.6,139.4, ,7.9,45, 
2006,12,6.4,13.7,-3.4,9.4,3.4,145.2,-7.3,9.5,54, 
2007,1,6.7,13.4,-1.8,9.5,3.9,74.6,-5.8,10.8,56, 
2007,2,5.8,14.6,-5.9,9.3,2.2,72.8,-9.7,7.9,49, 
2007,3,6.5,14.3,-3.2,10.8,2.3,72.1,-6.8,8.6,47, 
2007,4,11.0,19.9,-0.2,16.5,5.6,16.4,-5.1,5.9,37, 
2007,5,11.7,21.8,1.7,16.5,6.9,38.3,-1.9,7.5,39, 
2007,6,14.0,24.4,6.6,18.2,9.8,108.7,3.7,6.3,30, 
2007,7,14.9,21.7,7.0,18.8,10.9,128.3,4.4,6.8,42, 
2007,8,15.3,23.7,7.6,19.3,11.2,103.8,3.8,6.4,26, 
2007,9,13.3,22.3,1.0,17.7,9.0,36.8,-2.2,6.2,32, 
2007,10,11.3,19.2,-0.2,15.2,7.4,31.9,-3.6,5.1,29, 
2007,11,8.3,15.5,-2.8,11.3,5.2,51.3,-7.4,6.4,32, 
2007,12,6.5,15.1,-3.3,9.7,3.3,96.7,-7.5,9.7,50, 
2008,1,6.3,14.1,-2.3,9.6,3.0,124.7,-6.7,9.7,47, 
2008,2,5.5,13.1,-7.1,9.8,1.2,28.8,-9.8,8.1,51, 
2008,3,6.1,12.9,-1.2,9.9,2.2,83.9,-6.1,10.0,54, 
2008,4,7.9,17.4,-0.6,12.2,3.7,31.8,-5.0,7.6,41, 
2008,5,12.6,22.8,2.4,17.3,7.9,37.1,-1.2,6.0,34, 
2008,6,13.1,22.6,4.6,17.6,8.6,86.8,1.3,6.9,40, 
2008,7,15.4,24.6,5.9,19.4,11.3,136.7,1.9,6.9,33, 
2008,8,15.8,22.2,9.0,18.9,12.6,142.4,5.8,7.5,31, 
2008,9,12.5,19.0,4.0,16.7,8.4,81.5,0.0,6.7,35, 
2008,10,9.0,16.8,-2.2,12.9,5.0,96.7,-7.3,8.6,38, 
2008,11,7.1,13.1,-4.0,9.9,4.3,47.4,-6.6,8.1,46, 
2008,12,4.1,13.0,-5.0,7.5,0.8,47.8,-9.4,6.1,34, 
2009,1,3.9,11.6,-7.0,7.2,0.7,113.4,-10.9,8.2,54, 
2009,2,5.0,11.6,-3.2,7.9,2.1,29.2,-8.4,5.8,24, 
2009,3,6.9,14.9,-1.8,11.2,2.6,32.6,-6.3,8.6,42, 
2009,4,8.9,17.8,0.8,13.0,4.8,102.4,-4.0,7.3,45, 
2009,5,11.2,22.3,3.9,15.6,6.9,69.0,-0.3,8.3,47, 
2009,6,14.3,26.8,4.6,19.1,9.5,65.4,1.0,5.9,32, 
2009,7,15.1,21.5,7.8,18.8,11.3,152.4,3.7,7.4,32, 
2009,8,15.5,22.2,7.6,19.7,11.3,100.9,3.5,8.9,32, 
2009,9,13.1,21.2,4.2,17.4,8.7,41.8,-1.1,6.2,34, 
2009,10,11.4,16.9,1.4,14.8,8.1,127.8,-1.3,6.5,41, 
